area,bathroom_num,bedroom_num,dev_name,furnishing,locality,post_date,price,type,user_type,year_posted,month_posted
652.0,2.0,1.0,Veena Group,Semi-Furnished,Vasai,2020-01-11,8060.0,Apartment,Agent,2020,01
635.0,2.0,1.0,Agarwal Group,Semi-Furnished,Virar,2019-12-13,8000.0,Apartment,Agent,2019,12
625.0,1.0,1.0,Millennium Group,Furnished,Naigaon East,2019-12-17,9000.0,Apartment,Owner,2019,12
630.0,2.0,1.0,Poonam Developers,Unfurnished,Virar West,2020-01-13,8000.0,Apartment,Agent,2020,01
690.0,2.0,1.0,Evershine Builders,Furnished,Virar,2020-01-13,8500.0,Apartment,Agent,2020,01
675.0,2.0,1.0,Bahavni Group,Furnished,Virar,2020-01-10,9000.0,Apartment,Agent,2020,01
850.0,2.0,1.0,Poonam Developers,Unfurnished,Virar,2019-12-19,8000.0,Apartment,Agent,2019,12
630.0,2.0,1.0,Bachraj Developers,Unfurnished,Virar West,2020-01-05,8000.0,Apartment,Agent,2020,01
730.0,2.0,1.0,Mehta Builders Pvt Ltd,Unfurnished,Virar,2019-12-20,8000.0,Apartment,Agent,2019,12
570.0,2.0,1.0,KM Group,Unfurnished,Naigaon East,2019-12-25,8000.0,Apartment,Agent,2019,12
600.0,1.0,1.0,Agarwal Group,Unfurnished,Vasai West,2019-12-15,10000.0,Apartment,Agent,2019,12
645.0,1.0,1.0,Evershine Builders,Unfurnished,Vasai East,2019-12-11,8500.0,Apartment,Agent,2019,12
750.0,2.0,1.0,Agarwal Builder,Semi-Furnished,Virar West,2019-12-09,8000.0,Apartment,Agent,2019,12
640.0,2.0,1.0,Poonam Developers,Furnished,Virar,2020-01-06,10000.0,Apartment,Owner,2020,01
640.0,1.0,1.0,Raunak Group,Semi-Furnished,Kalyan,2019-12-30,10000.0,Apartment,Owner,2019,12
650.0,2.0,1.0,Poonam Developers,Semi-Furnished,Virar West,2019-12-04,8000.0,Apartment,Agent,2019,12
625.0,2.0,1.0,Agarwal Group,Unfurnished,Virar,2019-12-14,8000.0,Apartment,Agent,2019,12
650.0,1.0,1.0,Raunak Group,Semi-Furnished,Kalyan,2019-12-11,9500.0,Apartment,Owner,2019,12
700.0,1.0,1.0,Lucky Homes,Unfurnished,Mira Road,2019-12-05,10000.0,Apartment,Owner,2019,12
510.0,1.0,1.0,Millennium Group,Furnished,Naigaon East,2019-12-17,9000.0,Apartment,Owner,2019,12
750.0,1.0,1.0,Sai Shakti Group,Semi-Furnished,Vasai East,2020-01-09,8000.0,Apartment,Owner,2020,01
650.0,1.0,1.0,Sai Group,Furnished,Goregaon East,2020-01-13,8000.0,Apartment,Owner,2020,01
650.0,2.0,1.0,Veena Group,Semi-Furnished,Vasai,2020-01-11,8000.0,Apartment,Agent,2020,01
630.0,2.0,1.0,Poonam Developers,Unfurnished,Virar West,2020-01-13,8000.0,Apartment,Agent,2020,01
650.0,2.0,1.0,Mahavir Group,Furnished,Virar,2020-01-05,8500.0,Apartment,Agent,2020,01
620.0,2.0,1.0,Parikh Group,Unfurnished,Virar,2019-12-28,8500.0,Apartment,Agent,2019,12
720.0,1.0,1.0,Agarwal Group,Unfurnished,Vasai West,2019-12-05,9000.0,Apartment,Agent,2019,12
650.0,2.0,1.0,Evershine Builders,Unfurnished,Vasai East,2019-12-25,9000.0,Apartment,Agent,2019,12
630.0,2.0,1.0,Poonam Developers,Unfurnished,Virar West,2020-01-11,8000.0,Apartment,Agent,2020,01
695.0,1.0,1.0,Mehta Builders Pvt Ltd,Unfurnished,Virar,2019-12-20,8000.0,Apartment,Agent,2019,12
630.0,2.0,1.0,Bachraj Developers,Semi-Furnished,Virar West,2019-12-12,8000.0,Apartment,Agent,2019,12
730.0,2.0,1.0,Mehta Builders Pvt Ltd,Unfurnished,Bolinj,2019-12-20,8500.0,Apartment,Agent,2019,12
630.0,2.0,1.0,Parikh Group,Semi-Furnished,Virar,2019-12-18,10000.0,Apartment,Agent,2019,12
1250.0,3.0,3.0,Rashmi Realty Builders Pvt. Ltd,Semi-Furnished,Mira Road,2020-01-09,22000.0,Multistorey Apartment,Agent,2020,01
